"hotel_url","check_in","group_adults","review_count","no_rooms","star_rating","place","address","review_score_breaks","check_out","hotel_name","review_score"
"https://www.booking.com/hotel/sg/fraser-place-robertson-walk-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=40035401_94457002_0_0_0;all_sr_blocks=40035401_94457002_0_0_0;room1=A%2CA;hpos=12;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X12;from=searchresults;highlight_room=#hotelTmpl","10/5/2017","2","840","1","5 stars","Singapore","11 Unity Street, Robertson Quay, 237995 Singapore, Singapore","[{'Cleanliness': '8.7'}, {'Comfort': '9'}, {'Location': '8.8'}, {'Facilities': '8.4'}, {'Staff': '8.9'}, {'Value for money': '8.1'}, {'Free WiFi': '8.5'}]","11/5/2017","Fraser Place Robertson Walk Singapore","8.7"
"https://www.booking.com/hotel/sg/parkroyal-on-pickering.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=44340203_94467230_0_2_0;all_sr_blocks=44340203_94467230_0_2_0;room1=A%2CA;hpos=13;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X13;from=searchresults;highlight_room=#hotelTmpl","10/5/2017","2","4617","1","5 stars","Singapore","3 Upper Pickering Street, 058289 Singapore, Singapore","[{'Cleanliness': '9.3'}, {'Comfort': '9.3'}, {'Location': '9.3'}, {'Facilities': '9.1'}, {'Staff': '9'}, {'Value for money': '8.1'}, {'Free WiFi': '9.1'}]","11/5/2017","Parkroyal on Pickering","9"
"https://www.booking.com/hotel/sg/grand-park-orchard.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=25150501_99303539_0_2_0;all_sr_blocks=25150501_99303539_0_2_0;room1=A%2CA;hpos=14;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X14;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl","10/5/2017","2","1522","1","5 stars","Singapore","270 Orchard Road, Orchard, 238857 Singapore, Singapore","[{'Cleanliness': '7.9'}, {'Comfort': '7.8'}, {'Location': '9.1'}, {'Facilities': '7.6'}, {'Staff': '7.9'}, {'Value for money': '6.9'}, {'Free WiFi': '7.7'}]","11/5/2017","Grand Park Orchard","7.9"
"https://www.booking.com/hotel/sg/grand-hyatt-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=26845315_97377908_2_2_0;all_sr_blocks=26845315_97377908_2_2_0;room1=A%2CA;hpos=15;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X15;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl","10/5/2017","2","766","1","5 stars","Singapore","10 Scotts Road, Orchard, 228211 Singapore, Singapore","[{'Cleanliness': '8.6'}, {'Comfort': '8.5'}, {'Location': '9.2'}, {'Facilities': '8.4'}, {'Staff': '8.6'}, {'Value for money': '7.1'}, {'Free WiFi': '9'}]","11/5/2017","Grand Hyatt Singapore","8.4"
"https://www.booking.com/hotel/sg/merchantcourtsingapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508210_91891059_2_2_0;all_sr_blocks=2508210_91891059_2_2_0;room1=A%2CA;hpos=16;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X16;from=searchresults;highlight_room=#hotelTmpl","10/5/2017","2","2874","1","5 stars","Singapore","20 Merchant Road, Clarke Quay, 058281 Singapore, Singapore","[{'Cleanliness': '9'}, {'Comfort': '8.7'}, {'Location': '9.3'}, {'Facilities': '8.4'}, {'Staff': '8.9'}, {'Value for money': '7.8'}, {'Free WiFi': '8.8'}]","11/5/2017","Swissotel Merchant Court Singapore","8.7"
"https://www.booking.com/hotel/sg/pan-pacific-serviced-suites-beach-road.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;soh=1;highlighted_blocks=;all_sr_blocks=;room1=A%2CA;soldout=0%2C0;hpos=17;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X17;from=searchresults;highlight_room=#hotelTmpl","10/5/2017","2","1808","1","5 stars","Singapore","7500B Beach Road, 199592 Singapore, Singapore","[{'Cleanliness': '9.4'}, {'Comfort': '9.4'}, {'Location': '8.7'}, {'Facilities': '9'}, {'Staff': '9'}, {'Value for money': '8.4'}, {'Free WiFi': '9.4'}]","11/5/2017","Pan Pacific Serviced Suites Beach Road","9"
"https://www.booking.com/hotel/sg/swissotelsingapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508101_91284820_2_2_0;all_sr_blocks=2508101_91284820_2_2_0;room1=A%2CA;hpos=18;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X18;from=searchresults;highlight_room=#hotelTmpl","10/5/2017","2","3971","1","5 stars","Singapore","2 Stamford Road, City Hall, 178882 Singapore, Singapore","[{'Cleanliness': '8.5'}, {'Comfort': '8.5'}, {'Location': '9.3'}, {'Facilities': '8.1'}, {'Staff': '8.6'}, {'Value for money': '7.5'}]","11/5/2017","Swissotel The Stamford","8.4"
"https://www.booking.com/hotel/sg/peninsula-excelsior.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2509502_95148897_2_2_0;all_sr_blocks=2509502_95148897_2_2_0;room1=A%2CA;hpos=19;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X19;from=searchresults;highlight_room=#hotelTmpl","10/5/2017","2","5284","1","4 stars","Singapore","5 Coleman Street, City Hall, 179805 Singapore, Singapore","[{'Cleanliness': '7.6'}, {'Comfort': '7.7'}, {'Location': '8.8'}, {'Facilities': '7.5'}, {'Staff': '7.7'}, {'Value for money': '7.3'}, {'Free WiFi': '7.9'}]","11/5/2017","Peninsula Excelsior Hotel","7.8"
"https://www.booking.com/hotel/sg/royal-plaza-on-scotts.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508923_100332642_0_2_0;all_sr_blocks=2508923_100332642_0_2_0;room1=A%2CA;hpos=20;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X20;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl","10/5/2017","2","4597","1","5 stars","Singapore","25 Scotts Road, Orchard, 228220 Singapore, Singapore","[{'Cleanliness': '8.6'}, {'Comfort': '8.5'}, {'Location': '9.2'}, {'Facilities': '8.1'}, {'Staff': '8.6'}, {'Value for money': '7.7'}, {'Free WiFi': '9'}]","11/5/2017","Royal Plaza on Scotts","8.5"
"https://www.booking.com/hotel/sg/orchard-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2512701_95148949_0_2_0;all_sr_blocks=2512701_95148949_0_2_0;room1=A%2CA;hpos=21;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X21;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl","10/5/2017","2","3565","1","5 stars","Singapore","442 Orchard Road, Orchard, 238879  Singapore, Singapore","[{'Cleanliness': '8.1'}, {'Comfort': '8'}, {'Location': '8.4'}, {'Facilities': '7.8'}, {'Staff': '8.1'}, {'Value for money': '7.3'}, {'Free WiFi': '8.3'}]","11/5/2017","Orchard Hotel Singapore","7.9"
