"place","check_in","check_out","hotel name","no_rooms","group_adults","hotel_link"
"Singapore","10/5/2017","11/5/2017","Pan Pacific Singapore","1","2","https://www.booking.com/hotel/sg/panpacificsingapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508601_95148871_0_2_0;all_sr_blocks=2508601_95148871_0_2_0;room1=A%2CA;hpos=11;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X11;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Fraser Place Robertson Walk Singapore","1","2","https://www.booking.com/hotel/sg/fraser-place-robertson-walk-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=40035401_94457002_0_0_0;all_sr_blocks=40035401_94457002_0_0_0;room1=A%2CA;hpos=12;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X12;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Parkroyal on Pickering","1","2","https://www.booking.com/hotel/sg/parkroyal-on-pickering.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=44340203_94467230_0_2_0;all_sr_blocks=44340203_94467230_0_2_0;room1=A%2CA;hpos=13;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X13;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Grand Park Orchard","1","2","https://www.booking.com/hotel/sg/grand-park-orchard.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=25150501_99303539_0_2_0;all_sr_blocks=25150501_99303539_0_2_0;room1=A%2CA;hpos=14;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X14;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Grand Hyatt Singapore","1","2","https://www.booking.com/hotel/sg/grand-hyatt-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=26845315_97377908_2_2_0;all_sr_blocks=26845315_97377908_2_2_0;room1=A%2CA;hpos=15;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X15;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Swissotel Merchant Court Singapore","1","2","https://www.booking.com/hotel/sg/merchantcourtsingapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508210_91891059_2_2_0;all_sr_blocks=2508210_91891059_2_2_0;room1=A%2CA;hpos=16;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X16;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Pan Pacific Serviced Suites Beach Road","1","2","https://www.booking.com/hotel/sg/pan-pacific-serviced-suites-beach-road.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;soh=1;highlighted_blocks=;all_sr_blocks=;room1=A%2CA;soldout=0%2C0;hpos=17;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X17;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Swissotel The Stamford","1","2","https://www.booking.com/hotel/sg/swissotelsingapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508101_91284820_2_2_0;all_sr_blocks=2508101_91284820_2_2_0;room1=A%2CA;hpos=18;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X18;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Peninsula Excelsior Hotel","1","2","https://www.booking.com/hotel/sg/peninsula-excelsior.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2509502_95148897_2_2_0;all_sr_blocks=2509502_95148897_2_2_0;room1=A%2CA;hpos=19;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X19;from=searchresults;highlight_room=#hotelTmpl"
"Singapore","10/5/2017","11/5/2017","Royal Plaza on Scotts","1","2","https://www.booking.com/hotel/sg/royal-plaza-on-scotts.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508923_100332642_0_2_0;all_sr_blocks=2508923_100332642_0_2_0;room1=A%2CA;hpos=20;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X20;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl"
