2017-05-10 13:41 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/m-social-singapore.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/changi-village-a-far-east.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2511901_86354985_0_2_0;all_sr_blocks=2511901_86354985_0_2_0;room1=A%2CA;hpos=8;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X8;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/changi-village-a-far-east.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/the-east-village.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=35954901_86355452_0_2_0;all_sr_blocks=35954901_86355452_0_2_0;room1=A%2CA;hpos=9;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X9;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/the-east-village.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/somerset-liang-court.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;soh=1;highlighted_blocks=;all_sr_blocks=;room1=A%2CA;soldout=0%2C0;hpos=10;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X10;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/somerset-liang-court.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/panpacificsingapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508601_95148871_0_2_0;all_sr_blocks=2508601_95148871_0_2_0;room1=A%2CA;hpos=11;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X11;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/panpacificsingapore.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/fraser-place-robertson-walk-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=40035401_94457002_0_0_0;all_sr_blocks=40035401_94457002_0_0_0;room1=A%2CA;hpos=12;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X12;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/fraser-place-robertson-walk-singapore.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:42 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/parkroyal-on-pickering.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=44340203_94467230_0_2_0;all_sr_blocks=44340203_94467230_0_2_0;room1=A%2CA;hpos=13;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X13;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/parkroyal-on-pickering.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/grand-park-orchard.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=25150501_99303539_0_2_0;all_sr_blocks=25150501_99303539_0_2_0;room1=A%2CA;hpos=14;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X14;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/grand-park-orchard.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/grand-hyatt-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=26845315_97377908_2_2_0;all_sr_blocks=26845315_97377908_2_2_0;room1=A%2CA;hpos=15;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X15;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/grand-hyatt-singapore.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/merchantcourtsingapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508210_91891059_2_2_0;all_sr_blocks=2508210_91891059_2_2_0;room1=A%2CA;hpos=16;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X16;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/merchantcourtsingapore.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/pan-pacific-serviced-suites-beach-road.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;soh=1;highlighted_blocks=;all_sr_blocks=;room1=A%2CA;soldout=0%2C0;hpos=17;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X17;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/pan-pacific-serviced-suites-beach-road.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/swissotelsingapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508101_91284820_2_2_0;all_sr_blocks=2508101_91284820_2_2_0;room1=A%2CA;hpos=18;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X18;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:43 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/swissotelsingapore.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/peninsula-excelsior.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2509502_95148897_2_2_0;all_sr_blocks=2509502_95148897_2_2_0;room1=A%2CA;hpos=19;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X19;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/peninsula-excelsior.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/royal-plaza-on-scotts.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2508923_100332642_0_2_0;all_sr_blocks=2508923_100332642_0_2_0;room1=A%2CA;hpos=20;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X20;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/royal-plaza-on-scotts.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/orchard-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2512701_95148949_0_2_0;all_sr_blocks=2512701_95148949_0_2_0;room1=A%2CA;hpos=21;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X21;from=searchresults;hip_dst=1;highlight_room=#hotelTmpl
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/orchard-singapore.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/fairmont-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2628802_100269279_2_2_0;all_sr_blocks=2628802_100269279_2_2_0;room1=A%2CA;hpos=22;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X22;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/fairmont-singapore.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/crowne-plaza-changi-airport.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=2514715_99722465_0_42_0;all_sr_blocks=2514715_99722465_0_42_0;room1=A%2CA;hpos=23;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X23;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/crowne-plaza-changi-airport.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:44 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/fraser-suites-river-valley-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;soh=1;highlighted_blocks=;all_sr_blocks=;room1=A%2CA;soldout=0%2C0;hpos=24;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X24;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:45 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/fraser-suites-river-valley-singapore.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
2017-05-10 13:45 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/hotel/sg/park-regis-singapore.html?label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=134a831ab386f7aa029a92960b6f6e80;checkin=2017-05-10;checkout=2017-05-11;ucfs=1;highlighted_blocks=26270407_91469265_0_2_0;all_sr_blocks=26270407_91469265_0_2_0;room1=A%2CA;hpos=25;dest_type=city;dest_id=-73635;srfid=5d9a3bfd4dd6ed6bc7bb1936d2a978fe2a184fb1X25;from=searchresults;highlight_room=#hotelTmpl
2017-05-10 13:45 - scrapex.http - http - fetch_data() - DEBUG: loading https://www.booking.com/reviews/sg/hotel/park-regis-singapore.html?aid=304142;label=gen173nr-1FCAQoggJCEHNlYXJjaF9zaW5nYXBvcmVIM2IFbm9yZWZyBXVzX2tziAEBmAExwgEDYWJuyAEP2AEB6AEB-AEDkgIBeagCBA;sid=bf0b3a494f360a129b8bd528d3a8bc94
